iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0	0.56	37	36	1	22	0
5	winner_loser	10	10	0	0.84	55	5	0	12	0
10	winner_loser	10	10	0	0.9	36	0	0	0	0
20	winner_loser	10	10	0	0.9	28	0	0	0	0
1	winner_loser	20	20	0	0.6	123	151	67	65	0
5	winner_loser	20	20	0	0.87	217	31	17	22	0
10	winner_loser	20	20	0	0.89	166	12	8	6	0
20	winner_loser	20	20	0	0.91	184	11	3	9	0
1	winner_loser	50	20	0	0.62	457	512	246	130	3
5	winner_loser	50	20	0	0.87	546	83	27	22	0
10	winner_loser	50	20	0	0.91	483	46	23	22	0
20	winner_loser	50	20	0	0.93	361	16	15	9	0
1	winner_loser	100	20	0	0.6	847	874	423	230	3
5	winner_loser	100	20	0	0.86	1224	243	62	61	0
10	winner_loser	100	20	0	0.91	1148	118	47	54	0
20	winner_loser	100	20	0	0.93	741	35	24	35	0
1	winner_loser	200	20	0	0.62	1644	1821	969	478	8
5	winner_loser	200	20	0	0.87	2613	488	110	127	0
10	winner_loser	200	20	0	0.9	2176	281	88	82	0
20	winner_loser	200	20	0	0.93	1506	105	12	11	0
1	null	10	10	0	0.37	7	14	20	5	2
5	null	10	10	0	0.53	5	6	17	1	1
10	null	10	10	0	0.58	9	9	16	3	2
20	null	10	10	0	0.68	11	6	21	9	2
1	null	20	20	0	0.42	48	34	72	16	0
5	null	20	20	0	0.63	46	47	119	25	2
10	null	20	20	0	0.56	81	77	139	34	13
20	null	20	20	0	0.64	47	56	82	19	0
1	null	50	20	0	0.39	151	158	353	30	15
5	null	50	20	0	0.51	140	176	334	38	9
10	null	50	20	0	0.56	169	161	328	47	16
20	null	50	20	0	0.61	148	159	285	28	14
1	null	100	20	0	0.36	345	339	700	91	38
5	null	100	20	0	0.55	303	286	579	55	23
10	null	100	20	0	0.56	267	283	561	69	33
20	null	100	20	0	0.61	328	347	712	104	33
1	null	200	20	0	0.35	612	641	1339	155	46
5	null	200	20	0	0.56	603	586	1177	154	54
10	null	200	20	0	0.57	634	567	1249	159	49
20	null	200	20	0	0.64	657	656	1295	165	50
