iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0.05	0.52	35	30	5	18	0
5	winner_loser	10	10	0.05	0.62	28	30	5	26	0
10	winner_loser	10	10	0.05	0.66	19	27	9	24	0
20	winner_loser	10	10	0.05	0.74	40	23	2	17	0
1	winner_loser	20	20	0.05	0.46	77	94	68	41	1
5	winner_loser	20	20	0.05	0.67	224	139	59	73	0
10	winner_loser	20	20	0.05	0.67	206	158	70	91	1
20	winner_loser	20	20	0.05	0.64	210	122	31	63	0
1	winner_loser	50	20	0.05	0.51	367	431	273	111	1
5	winner_loser	50	20	0.05	0.65	588	425	217	140	0
10	winner_loser	50	20	0.05	0.67	691	490	285	211	0
20	winner_loser	50	20	0.05	0.71	840	495	159	162	0
1	winner_loser	100	20	0.05	0.54	876	960	528	276	5
5	winner_loser	100	20	0.05	0.67	1222	845	510	357	4
10	winner_loser	100	20	0.05	0.73	1410	757	427	330	1
20	winner_loser	100	20	0.05	0.7	1249	807	461	356	1
1	winner_loser	200	20	0.05	0.52	1498	1819	1007	559	11
5	winner_loser	200	20	0.05	0.69	2499	1772	881	645	2
10	winner_loser	200	20	0.05	0.68	2486	1596	876	652	3
20	winner_loser	200	20	0.05	0.69	2508	1580	807	568	1
1	null	10	10	0.05	0.39	11	10	13	2	3
5	null	10	10	0.05	0.47	9	9	27	3	3
10	null	10	10	0.05	0.38	10	9	21	7	3
20	null	10	10	0.05	0.32	15	6	14	5	0
1	null	20	20	0.05	0.35	70	77	136	34	16
5	null	20	20	0.05	0.33	42	53	99	23	9
10	null	20	20	0.05	0.36	51	48	87	13	5
20	null	20	20	0.05	0.38	61	46	121	27	9
1	null	50	20	0.05	0.34	167	155	325	44	14
5	null	50	20	0.05	0.39	123	139	232	26	11
10	null	50	20	0.05	0.41	125	146	294	34	11
20	null	50	20	0.05	0.36	116	131	262	32	9
1	null	100	20	0.05	0.35	358	325	712	95	34
5	null	100	20	0.05	0.37	273	295	576	70	25
10	null	100	20	0.05	0.37	267	276	567	56	23
20	null	100	20	0.05	0.37	324	337	683	70	31
1	null	200	20	0.05	0.32	616	632	1287	151	60
5	null	200	20	0.05	0.38	543	569	1113	136	35
10	null	200	20	0.05	0.37	606	602	1233	139	48
20	null	200	20	0.05	0.41	636	622	1265	160	55
