"iteration","method","agents","neighbour","tax_rate","lambda","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.1,0.7,0.47,14,9,26,9,2
10,"null",10,10,0.1,1.22,0.33,6,6,12,12,6
20,"null",10,10,0.1,1.405,0.4,23,7,19,12,7
30,"null",10,10,0.1,1.55666666666667,0.34,9,11,18,18,21
1,"null",20,20,0.1,0.9,0.19,54,64,109,30,10
10,"null",20,20,0.1,1.245,0.33,69,90,84,63,34
20,"null",20,20,0.1,1.3475,0.27,59,65,116,31,11
30,"null",20,20,0.1,1.37333333333333,0.23,88,88,119,53,31
1,"null",50,20,0.1,1.16,0.25,306,281,519,48,12
10,"null",50,20,0.1,1.476,0.2,229,227,480,36,9
20,"null",50,20,0.1,1.528,0.2,226,202,449,24,9
30,"null",50,20,0.1,1.49,0.2,189,223,398,32,8
1,"null",100,20,0.1,1.02,0.21,488,492,1016,57,20
10,"null",100,20,0.1,1.517,0.18,507,505,975,71,30
20,"null",100,20,0.1,1.5335,0.17,475,515,984,62,23
30,"null",100,20,0.1,1.55533333333333,0.2,567,579,1153,93,32
1,"null",200,20,0.1,1,0.16,1061,1049,2025,139,54
10,"null",200,20,0.1,1.5455,0.18,1012,1031,2012,139,49
20,"null",200,20,0.1,1.59425,0.17,1010,984,2071,149,46
30,"null",200,20,0.1,1.58533333333333,0.16,1048,1157,2092,198,46
1,"winlo",10,10,0.1,11.9,0.38,20,8,9,4,0
10,"winlo",10,10,0.1,4.94,0.6,11,12,19,34,3
20,"winlo",10,10,0.1,4.89,0.45,9,22,10,33,12
30,"winlo",10,10,0.1,4.73,0.45,17,14,10,29,4
1,"winlo",20,20,0.1,2.45,0.41,91,162,91,72,12
10,"winlo",20,20,0.1,1.69,0.5,153,166,62,72,0
20,"winlo",20,20,0.1,1.7575,0.57,172,133,91,118,10
30,"winlo",20,20,0.1,1.73166666666667,0.48,103,136,79,62,0
1,"winlo",50,20,0.1,2,0.33,359,515,501,83,6
10,"winlo",50,20,0.1,1.896,0.59,988,851,539,200,1
20,"winlo",50,20,0.1,1.872,0.62,1043,809,470,173,0
30,"winlo",50,20,0.1,1.86,0.57,916,773,371,116,1
1,"winlo",100,20,0.1,2.23,0.36,881,1139,890,138,8
10,"winlo",100,20,0.1,1.938,0.61,1765,1772,983,325,5
20,"winlo",100,20,0.1,1.8785,0.52,1572,1700,1099,317,5
30,"winlo",100,20,0.1,1.89366666666667,0.56,1745,1881,884,306,3
1,"winlo",200,20,0.1,2.27,0.37,1802,2427,1929,352,24
10,"winlo",200,20,0.1,1.8345,0.6,3662,3257,1930,569,3
20,"winlo",200,20,0.1,1.7875,0.55,3595,3791,1715,600,10
30,"winlo",200,20,0.1,1.78716666666667,0.57,3740,3857,1834,669,3
