"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.1,0.25,6,10,20,5,6
5,"null",10,10,0.1,0.33,9,7,20,4,3
10,"null",10,10,0.1,0.18,5,4,11,4,0
20,"null",10,10,0.1,0.33,12,10,18,19,8
1,"null",20,20,0.1,0.26,66,73,120,48,10
5,"null",20,20,0.1,0.41,56,65,150,36,13
10,"null",20,20,0.1,0.42,81,100,129,52,28
20,"null",20,20,0.1,0.28,97,57,122,66,15
1,"null",50,20,0.1,0.17,317,291,632,53,14
5,"null",50,20,0.1,0.26,270,296,537,44,8
10,"null",50,20,0.1,0.27,282,258,510,57,18
20,"null",50,20,0.1,0.22,246,244,538,39,10
1,"null",100,20,0.1,0.2,492,453,906,79,20
5,"null",100,20,0.1,0.21,514,529,992,59,21
10,"null",100,20,0.1,0.19,454,449,925,65,24
20,"null",100,20,0.1,0.2,533,529,1039,60,12
1,"null",200,20,0.1,0.18,925,952,1958,123,31
5,"null",200,20,0.1,0.2,1044,977,2037,144,46
10,"null",200,20,0.1,0.2,989,989,1997,143,48
20,"null",200,20,0.1,0.2,994,1071,2067,134,43
1,"winlo",10,10,0.1,0.38,11,10,10,43,12
5,"winlo",10,10,0.1,0.44,21,11,13,41,6
10,"winlo",10,10,0.1,0.4,14,18,9,41,4
20,"winlo",10,10,0.1,0.46,23,18,11,17,0
1,"winlo",20,20,0.1,0.3,91,131,115,84,26
5,"winlo",20,20,0.1,0.44,121,130,80,56,4
10,"winlo",20,20,0.1,0.46,137,169,77,111,0
20,"winlo",20,20,0.1,0.45,145,125,124,106,5
1,"winlo",50,20,0.1,0.44,637,608,650,142,8
5,"winlo",50,20,0.1,0.52,883,931,526,189,1
10,"winlo",50,20,0.1,0.54,973,938,490,181,4
20,"winlo",50,20,0.1,0.52,792,788,531,192,3
1,"winlo",100,20,0.1,0.35,946,1162,928,160,14
5,"winlo",100,20,0.1,0.46,1576,1887,970,289,4
10,"winlo",100,20,0.1,0.53,1836,1892,1174,407,2
20,"winlo",100,20,0.1,0.51,1622,1690,1022,300,2
1,"winlo",200,20,0.1,0.38,1826,2162,1861,341,27
5,"winlo",200,20,0.1,0.5,3491,3747,2050,690,5
10,"winlo",200,20,0.1,0.53,3607,3790,2172,641,4
20,"winlo",200,20,0.1,0.49,3129,3567,2094,605,12
